epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,6751.97,0.62742,0.52946,0.00802,0.712,0.69264,0.72844,0.62294,0.6353,0.83854,0.00932,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6885.25,0.62841,0.52821,0.00807,0.71949,0.686,0.72804,0.61998,0.63718,0.83913,0.00935,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7017.02,0.6247,0.51391,0.00788,0.6897,0.7223,0.73296,0.62395,0.6426,0.83341,0.00949,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7149.33,0.62789,0.52636,0.00798,0.693,0.71737,0.72923,0.62083,0.64179,0.83112,0.00948,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7281.17,0.62101,0.51851,0.00784,0.67907,0.74205,0.73507,0.62742,0.63881,0.83947,0.0094,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7410.21,0.61468,0.4944,0.00769,0.70494,0.68532,0.72957,0.6225,0.64192,0.85388,0.00953,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7541.58,0.60764,0.50773,0.00774,0.69835,0.70568,0.73019,0.62164,0.63907,0.85429,0.00935,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7674.05,0.60134,0.50262,0.00755,0.70468,0.70277,0.74004,0.62975,0.63615,0.85873,0.00929,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7848.63,0.59739,0.48538,0.00761,0.69565,0.70402,0.73383,0.62606,0.63679,0.85303,0.0093,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8002.13,0.60661,0.48907,0.0077,0.68367,0.71661,0.73143,0.62461,0.63814,0.85336,0.00934,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8142.57,0.59379,0.47526,0.00751,0.70163,0.68736,0.73143,0.62512,0.63792,0.85929,0.00933,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8313.39,0.58941,0.46318,0.00748,0.64387,0.76672,0.73823,0.62854,0.63798,0.86618,0.00931,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8492.31,0.5842,0.47024,0.00736,0.63346,0.76513,0.73572,0.62749,0.63813,0.87332,0.0093,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8758.32,0.4794,0.21871,0.00757,0.65611,0.74675,0.73563,0.62477,0.64014,0.88068,0.00928,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8896.3,0.46176,0.20033,0.00723,0.70196,0.72551,0.74396,0.63293,0.63941,0.87992,0.00926,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9033.6,0.45194,0.19004,0.00698,0.6874,0.73007,0.74766,0.63788,0.63767,0.89032,0.00926,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9174.45,0.44588,0.18147,0.00687,0.68053,0.762,0.75127,0.64023,0.63841,0.88881,0.00926,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9311.19,0.44666,0.19184,0.00692,0.64945,0.77442,0.74785,0.63755,0.63746,0.89712,0.00923,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9453.35,0.43346,0.17556,0.00669,0.69097,0.71686,0.73766,0.62591,0.63629,0.909,0.00921,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9600.11,0.42568,0.17427,0.00653,0.72857,0.69341,0.73602,0.62594,0.63508,0.91703,0.00919,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9741.17,0.41907,0.16203,0.00636,0.722,0.69721,0.73607,0.62652,0.63684,0.91848,0.00922,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9886.45,0.415,0.16916,0.00631,0.71001,0.70274,0.73895,0.62929,0.63816,0.92723,0.00925,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10020.9,0.40844,0.16634,0.00621,0.72991,0.67981,0.7404,0.63073,0.6383,0.93178,0.00924,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
